Start date;End date;grid load [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2026 12:00 AM;Jan 1, 2026 1:00 AM;46,296.66;8,905.06
Jan 1, 2026 1:00 AM;Jan 1, 2026 2:00 AM;44,378.29;5,557.88
Jan 1, 2026 2:00 AM;Jan 1, 2026 3:00 AM;43,631.28;3,138.98
Jan 1, 2026 3:00 AM;Jan 1, 2026 4:00 AM;43,091.43;983.24
Jan 1, 2026 4:00 AM;Jan 1, 2026 5:00 AM;42,881.61;-124.62
Jan 1, 2026 5:00 AM;Jan 1, 2026 6:00 AM;42,924.67;-746.66
Jan 1, 2026 6:00 AM;Jan 1, 2026 7:00 AM;43,577.04;-1,492.32
Jan 1, 2026 7:00 AM;Jan 1, 2026 8:00 AM;45,682.11;-85.92
Jan 1, 2026 8:00 AM;Jan 1, 2026 9:00 AM;47,837.77;397.51
Jan 1, 2026 9:00 AM;Jan 1, 2026 10:00 AM;50,554.30;12.86
Jan 1, 2026 10:00 AM;Jan 1, 2026 11:00 AM;52,198.87;-1,461.47
Jan 1, 2026 11:00 AM;Jan 1, 2026 12:00 PM;53,317.19;-2,532.06
Jan 1, 2026 12:00 PM;Jan 1, 2026 1:00 PM;53,551.68;-2,939.03
Jan 1, 2026 1:00 PM;Jan 1, 2026 2:00 PM;52,778.42;-2,984.95
Jan 1, 2026 2:00 PM;Jan 1, 2026 3:00 PM;51,963.20;-2,111.89
Jan 1, 2026 3:00 PM;Jan 1, 2026 4:00 PM;52,064.10;-255.77
Jan 1, 2026 4:00 PM;Jan 1, 2026 5:00 PM;53,063.24;1,733.40
Jan 1, 2026 5:00 PM;Jan 1, 2026 6:00 PM;55,423.98;3,873.49
Jan 1, 2026 6:00 PM;Jan 1, 2026 7:00 PM;56,430.02;5,046.65
Jan 1, 2026 7:00 PM;Jan 1, 2026 8:00 PM;55,711.01;4,438.96
Jan 1, 2026 8:00 PM;Jan 1, 2026 9:00 PM;54,207.29;2,854.89
Jan 1, 2026 9:00 PM;Jan 1, 2026 10:00 PM;52,500.45;1,209.88
Jan 1, 2026 10:00 PM;Jan 1, 2026 11:00 PM;50,790.00;530.50
Jan 1, 2026 11:00 PM;Jan 2, 2026 12:00 AM;48,149.63;-1,806.04
Jan 2, 2026 12:00 AM;Jan 2, 2026 1:00 AM;47,668.62;-2,067.17
Jan 2, 2026 1:00 AM;Jan 2, 2026 2:00 AM;46,043.76;-4,120.66
Jan 2, 2026 2:00 AM;Jan 2, 2026 3:00 AM;45,657.55;-4,686.47
Jan 2, 2026 3:00 AM;Jan 2, 2026 4:00 AM;45,832.90;-4,588.72
Jan 2, 2026 4:00 AM;Jan 2, 2026 5:00 AM;46,999.38;-3,048.42
Jan 2, 2026 5:00 AM;Jan 2, 2026 6:00 AM;50,656.34;1,063.31
Jan 2, 2026 6:00 AM;Jan 2, 2026 7:00 AM;55,698.00;5,884.16
Jan 2, 2026 7:00 AM;Jan 2, 2026 8:00 AM;60,585.11;11,802.46
Jan 2, 2026 8:00 AM;Jan 2, 2026 9:00 AM;63,402.62;14,788.06
Jan 2, 2026 9:00 AM;Jan 2, 2026 10:00 AM;64,263.36;14,122.78
Jan 2, 2026 10:00 AM;Jan 2, 2026 11:00 AM;64,806.35;12,720.46
Jan 2, 2026 11:00 AM;Jan 2, 2026 12:00 PM;66,184.49;12,497.74
Jan 2, 2026 12:00 PM;Jan 2, 2026 1:00 PM;67,172.38;13,063.66
Jan 2, 2026 1:00 PM;Jan 2, 2026 2:00 PM;66,097.71;12,886.25
Jan 2, 2026 2:00 PM;Jan 2, 2026 3:00 PM;67,032.72;15,947.33
Jan 2, 2026 3:00 PM;Jan 2, 2026 4:00 PM;64,899.64;17,021.19
Jan 2, 2026 4:00 PM;Jan 2, 2026 5:00 PM;65,094.93;19,324.76
Jan 2, 2026 5:00 PM;Jan 2, 2026 6:00 PM;66,572.13;21,450.62
Jan 2, 2026 6:00 PM;Jan 2, 2026 7:00 PM;66,762.63;22,368.25
Jan 2, 2026 7:00 PM;Jan 2, 2026 8:00 PM;64,660.12;21,196.71
Jan 2, 2026 8:00 PM;Jan 2, 2026 9:00 PM;61,541.56;19,110.71
Jan 2, 2026 9:00 PM;Jan 2, 2026 10:00 PM;58,226.20;17,023.75
Jan 2, 2026 10:00 PM;Jan 2, 2026 11:00 PM;55,392.54;16,491.65
Jan 2, 2026 11:00 PM;Jan 3, 2026 12:00 AM;51,699.90;14,521.10
Jan 3, 2026 12:00 AM;Jan 3, 2026 1:00 AM;48,685.22;12,595.10
Jan 3, 2026 1:00 AM;Jan 3, 2026 2:00 AM;46,447.58;11,968.01
Jan 3, 2026 2:00 AM;Jan 3, 2026 3:00 AM;45,230.48;12,260.02
Jan 3, 2026 3:00 AM;Jan 3, 2026 4:00 AM;44,556.56;12,734.56
Jan 3, 2026 4:00 AM;Jan 3, 2026 5:00 AM;44,795.83;13,757.93
Jan 3, 2026 5:00 AM;Jan 3, 2026 6:00 AM;44,197.48;13,702.45
Jan 3, 2026 6:00 AM;Jan 3, 2026 7:00 AM;45,182.91;14,814.18
