Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2026 12:00 AM;Jan 1, 2026 1:00 AM;46,122.88;46,484.84;361.96;9,820.81
Jan 1, 2026 1:00 AM;Jan 1, 2026 2:00 AM;45,598.23;46,014.20;415.97;6,848.06
Jan 1, 2026 2:00 AM;Jan 1, 2026 3:00 AM;44,673.92;45,484.55;810.63;4,319.56
Jan 1, 2026 3:00 AM;Jan 1, 2026 4:00 AM;43,796.41;44,765.15;968.74;1,791.82
Jan 1, 2026 4:00 AM;Jan 1, 2026 5:00 AM;43,359.56;45,229.38;1,869.82;919.90
Jan 1, 2026 5:00 AM;Jan 1, 2026 6:00 AM;43,074.61;45,130.22;2,055.61;946.46
Jan 1, 2026 6:00 AM;Jan 1, 2026 7:00 AM;42,545.64;45,533.78;2,988.14;-1,074.23
Jan 1, 2026 7:00 AM;Jan 1, 2026 8:00 AM;43,155.68;46,160.98;3,005.29;-832.49
Jan 1, 2026 8:00 AM;Jan 1, 2026 9:00 AM;44,050.53;46,790.57;2,740.04;-1,495.47
Jan 1, 2026 9:00 AM;Jan 1, 2026 10:00 AM;46,027.91;49,407.55;3,379.64;-2,779.65
Jan 1, 2026 10:00 AM;Jan 1, 2026 11:00 AM;48,127.30;52,807.27;4,679.97;-4,137.65
Jan 1, 2026 11:00 AM;Jan 1, 2026 12:00 PM;50,221.08;55,340.19;5,119.11;-4,881.37
Jan 1, 2026 12:00 PM;Jan 1, 2026 1:00 PM;51,399.60;56,840.91;5,441.31;-4,294.89
Jan 1, 2026 1:00 PM;Jan 1, 2026 2:00 PM;50,855.27;55,712.71;4,857.44;-4,677.08
Jan 1, 2026 2:00 PM;Jan 1, 2026 3:00 PM;51,180.00;54,299.86;3,119.85;-2,933.37
Jan 1, 2026 3:00 PM;Jan 1, 2026 4:00 PM;51,984.26;53,596.80;1,612.54;329.48
Jan 1, 2026 4:00 PM;Jan 1, 2026 5:00 PM;54,167.81;54,976.70;808.89;3,842.08
Jan 1, 2026 5:00 PM;Jan 1, 2026 6:00 PM;56,380.21;56,977.42;597.21;6,710.58
Jan 1, 2026 6:00 PM;Jan 1, 2026 7:00 PM;56,244.99;56,566.51;321.52;7,742.47
Jan 1, 2026 7:00 PM;Jan 1, 2026 8:00 PM;55,009.60;55,026.63;17.03;6,727.00
Jan 1, 2026 8:00 PM;Jan 1, 2026 9:00 PM;52,949.63;53,423.14;473.51;3,014.06
Jan 1, 2026 9:00 PM;Jan 1, 2026 10:00 PM;51,424.93;52,558.58;1,133.65;2,644.95
Jan 1, 2026 10:00 PM;Jan 1, 2026 11:00 PM;49,860.54;50,689.28;828.74;3,848.25
Jan 1, 2026 11:00 PM;Jan 2, 2026 12:00 AM;47,977.97;50,549.65;2,571.69;2,702.18
Jan 2, 2026 12:00 AM;Jan 2, 2026 1:00 AM;45,652.08;47,580.94;1,928.86;365.85
Jan 2, 2026 1:00 AM;Jan 2, 2026 2:00 AM;44,883.25;48,995.68;4,112.43;-696.59
Jan 2, 2026 2:00 AM;Jan 2, 2026 3:00 AM;44,091.92;48,600.09;4,508.16;-1,928.86
Jan 2, 2026 3:00 AM;Jan 2, 2026 4:00 AM;43,999.25;48,512.84;4,513.59;-1,450.42
Jan 2, 2026 4:00 AM;Jan 2, 2026 5:00 AM;45,223.84;49,551.72;4,327.88;960.89
Jan 2, 2026 5:00 AM;Jan 2, 2026 6:00 AM;46,732.85;49,079.17;2,346.32;3,457.19
Jan 2, 2026 6:00 AM;Jan 2, 2026 7:00 AM;49,108.85;49,990.87;882.01;6,273.81
Jan 2, 2026 7:00 AM;Jan 2, 2026 8:00 AM;52,804.41;53,038.32;233.91;10,018.57
Jan 2, 2026 8:00 AM;Jan 2, 2026 9:00 AM;55,651.54;55,678.41;26.87;13,028.52
Jan 2, 2026 9:00 AM;Jan 2, 2026 10:00 AM;58,290.16;58,310.36;20.21;14,590.82
Jan 2, 2026 10:00 AM;Jan 2, 2026 11:00 AM;61,026.41;61,045.04;18.63;13,941.60
